# Goxel 0.10.7
# One line per voxel
# X Y Z RRGGBB
0 -1 6 ffffff
1 -1 6 ffffff
2 -1 6 ffffff
3 -1 6 ffffff
0 -5 7 ffffff
0 -4 7 ffffff
1 -4 7 ffffff
0 -3 7 ffffff
1 -3 7 ffffff
2 -3 7 ffffff
0 -2 7 ffffff
1 -2 7 ffffff
2 -2 7 ffffff
3 -2 7 ffffff
0 -1 7 ffffff
1 -1 7 ffffff
2 -1 7 ffffff
3 -1 7 ffffff
0 -5 8 ffffff
0 -4 8 ffffff
1 -4 8 ffffff
0 -3 8 ffffff
1 -3 8 ffffff
2 -3 8 ffffff
0 -2 8 ffffff
1 -2 8 ffffff
2 -2 8 ffffff
3 -2 8 ffffff
0 -1 8 ffffff
1 -1 8 ffffff
2 -1 8 ffffff
3 -1 8 ffffff
0 -5 9 ffffff
0 -4 9 ffffff
1 -4 9 ffffff
0 -3 9 ffffff
1 -3 9 ffffff
2 -3 9 ffffff
0 -2 9 ffffff
1 -2 9 ffffff
2 -2 9 ffffff
3 -2 9 ffffff
0 -1 9 ffffff
1 -1 9 ffffff
2 -1 9 ffffff
3 -1 9 ffffff
0 -4 10 ffffff
1 -4 10 ffffff
0 -3 10 ffffff
1 -3 10 ffffff
2 -3 10 ffffff
0 -2 10 ffffff
1 -2 10 ffffff
2 -2 10 ffffff
0 -1 10 ffffff
1 -1 10 ffffff
2 -1 10 ffffff
3 -1 10 ffffff
0 -4 11 ffffff
0 -3 11 ffffff
1 -3 11 ffffff
0 -2 11 ffffff
1 -2 11 ffffff
2 -2 11 ffffff
0 -1 11 ffffff
1 -1 11 ffffff
2 -1 11 ffffff
0 -3 12 ffffff
0 -2 12 ffffff
1 -2 12 ffffff
0 -1 12 ffffff
1 -1 12 ffffff
0 -1 13 ffffff
0 0 3 ffffff
0 1 3 ffffff
0 0 4 ffffff
1 0 4 ffffff
0 1 4 ffffff
1 1 4 ffffff
0 2 4 ffffff
1 2 4 ffffff
0 3 4 ffffff
0 0 5 ffffff
1 0 5 ffffff
2 0 5 ffffff
0 1 5 ffffff
1 1 5 ffffff
2 1 5 ffffff
0 2 5 ffffff
1 2 5 ffffff
2 2 5 ffffff
0 3 5 ffffff
1 3 5 ffffff
0 4 5 ffffff
0 0 6 ffffff
1 0 6 ffffff
2 0 6 ffffff
3 0 6 ffffff
0 1 6 ffffff
1 1 6 ffffff
2 1 6 ffffff
3 1 6 ffffff
0 2 6 ffffff
1 2 6 ffffff
2 2 6 ffffff
0 3 6 ffffff
1 3 6 ffffff
2 3 6 ffffff
0 4 6 ffffff
1 4 6 ffffff
0 0 7 ffffff
1 0 7 ffffff
2 0 7 ffffff
3 0 7 ffffff
0 1 7 ffffff
1 1 7 ffffff
2 1 7 ffffff
3 1 7 ffffff
0 2 7 ffffff
1 2 7 ffffff
2 2 7 ffffff
3 2 7 ffffff
0 3 7 ffffff
1 3 7 ffffff
2 3 7 ffffff
0 4 7 ffffff
1 4 7 ffffff
0 5 7 ffffff
0 0 8 ffffff
1 0 8 ffffff
2 0 8 ffffff
3 0 8 ffffff
0 1 8 ffffff
1 1 8 ffffff
2 1 8 ffffff
3 1 8 ffffff
0 2 8 ffffff
1 2 8 ffffff
2 2 8 ffffff
3 2 8 ffffff
0 3 8 ffffff
1 3 8 ffffff
0 4 8 ffffff
0 5 8 ffffff
0 0 9 ffffff
1 0 9 ffffff
2 0 9 ffffff
3 0 9 ffffff
0 1 9 ffffff
1 1 9 ffffff
2 1 9 ffffff
3 1 9 ffffff
0 2 9 ffffff
1 2 9 ffffff
0 3 9 ffffff
0 0 10 ffffff
1 0 10 ffffff
2 0 10 ffffff
3 0 10 ffffff
0 1 10 ffffff
1 1 10 ffffff
0 2 10 ffffff
0 0 11 ffffff
1 0 11 ffffff
2 0 11 ffffff
0 1 11 ffffff
1 1 11 ffffff
0 0 12 ffffff
1 0 12 ffffff
0 1 12 ffffff
0 0 13 ffffff
0 1 13 ffffff
